"phoneNumber(STRING)","country(STRING)","city(STRING)","objectId(STRING_ID)","updated(DATETIME)","ownerId(STRING)","streetAddress(STRING)","created(DATETIME)","locations__Restaurant__bcklsFK__ONE_TO_MANY","menu__Menu__bcklsFK__ONE_TO_ONE"
"(44) 570-70-73","Ukraine","Kyiv","A40B53DD-6CBB-BDBB-FFEB-2F693DE7D500","02/19/2015 00:00:00 GMT+0000",null,"Petra Hryhorenka Ave, 22/20","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"972-555-1212","United States","Frisco","A63CE3A8-293F-67F0-FF7E-40F844C86B00","02/19/2015 00:00:00 GMT+0000",null,"123 Main St.","01/18/2015 00:00:00 GMT+0000","EB628266-A55A-E52A-FF1F-326D4E5D0200",null
"(44) 280-33-77","Ukraine","Kyiv","ADC61B3D-D762-3894-FFC4-E288DEA4F000","02/19/2015 00:00:00 GMT+0000",null,"Sichnevyi Ln, 1/25","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"312-555-1234","United States","Chicago","B85F1FF6-0ABF-3E9D-FF66-88DEDD773900","02/19/2015 00:00:00 GMT+0000",null,"555 Commerce St","01/18/2015 00:00:00 GMT+0000",null,null
"(044) 453-22-24","Ukraine","Kyiv","D99FA1D5-11AA-C2C8-FF35-E694CA524100",null,null,"Peremohy Ave, 45","02/19/2015 00:00:00 GMT+0000","834AA1E2-1B8C-46F0-FFA9-BD2742B65500","6330D24A-B64F-7373-FF09-B4D064F99A00"
"(44) 235-55-44","Ukraine","Kyiv","DA622BC8-E241-847A-FF18-D282F166C500","02/19/2015 00:00:00 GMT+0000",null,"Bessarabs'ka Square, 2","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 390-42-17","Ukraine","Kyiv","DB5A2289-4C42-3132-FFA3-2C8E9A09B000","02/19/2015 00:00:00 GMT+0000",null,"Moskovs'kyi Ave, 20Б","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 234-43-34","Ukraine","Kyiv","DDA65272-A4BE-5A74-FF5B-AD07AD35FE00","02/19/2015 00:00:00 GMT+0000",null,"Yaroslaviv Val St, 8","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900","5BAA16B1-EA5B-7CCE-FF3B-CF1786706E00"
"(44) 486-63-36","Ukraine","Kyiv","DE35C6B4-6ED1-28B4-FFF3-9A62E9128900","02/19/2015 00:00:00 GMT+0000",null,"Dmytrivska St, 2А","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 456-25-55","Ukraine","Kyiv","E5893B89-F3AB-D50C-FFD7-CE2DEE83EE00","02/19/2015 00:00:00 GMT+0000",null,"Peremohy Ave, 45","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(469) 555-1212","USA","Frisco","F0EA3C0F-CD76-C72B-FF07-AB19A8306700","03/19/2015 00:00:00 GMT+0000",null,"123 Main Street","03/19/2015 00:00:00 GMT+0000","FFE1C0BB-CFC6-738F-FFC1-7A8A66ED3A00","A372FEA4-DE3C-86EA-FFC0-CCF64130E100"
"(44) 425-34-34","Ukraine","Kyiv","F3603AB9-DFDA-1A7C-FF81-A34B18CF9100","02/19/2015 00:00:00 GMT+0000",null,"Mezhyhirska St, 15/35Д","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
